"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"14",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"null","lognormal",30,0.956318,0.957346,-0.00102800000000003,0.0819238160362386,1.60792411887591,0.0442991834572857,0.644329934488998,0.0420506059185181,0,0.516,0,16.6096404744368,NA,0.2,0.0940394674521939,0.957244808063661
"15",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"cauchy","lognormal",30,0.552644,0.641402,-0.088758,-0.0513521174023769,1.92967207792208,0.151822162111421,1.89066352527914,0.145233045382387,0,0.939674044265594,-0.006,15.168997776141,NA,0.542883523318981,0.156362300319143,2.15286626474412
"16",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"cauchy","lognormal",30,0.552172,0.638526,-0.086354,-0.0735583939991883,1.07204297406852,0.0352628751485892,0.264386096728565,0.0349038324672391,0,0.938,0,16.6096404744368,NA,0.2,0.0375126364932272,0.31543429279282
"17",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"realistic","lognormal",30,0.43459,0.561156,-0.126566,-0.107199396239715,1.34061219336219,0.150363882741338,1.17706617745353,0.151583782116729,0,0.96,0,15.168997776141,NA,0.542883523318981,0.151605945049192,1.25683089198369
"18",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"realistic","lognormal",30,0.434478,0.562646,-0.128168,-0.124777959381545,0.977759483883392,0.0365157089199104,0.207716536096746,0.0346639304932111,0,0.934,0,16.6096404744368,NA,0.2,0.0366727333766983,0.221794266611746
"19",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"large","lognormal",30,0.216626,0.55645,-0.339824,-0.25844016422071,1.25557426919486,0.135104311526954,0.687716900142047,0.143591850487544,0,0.938,0,15.168997776141,NA,0.542883523318981,0.157722869994566,0.774201263015272
"20",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"large","lognormal",30,0.21508,0.554104,-0.339024,-0.295741929472959,0.974264394234134,0.0382359608679887,0.160355623935837,0.0363287971488864,0,0.752,0,16.6096404744368,NA,0.2,0.0577522842198134,0.176717645918042
"21",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"worst","lognormal",30,0.758664,0.852254,-0.09359,-0.0683998125247945,2.12417301587302,0.169373581212791,1.91193103063921,0.1710029637253,0,0.96,0,15.168997776141,NA,0.542883523318981,0.171236548545811,2.27025986149444
"22",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"worst","lognormal",30,0.7581,0.852032,-0.093932,-0.0745661269490785,1.14503642960857,0.0413855340455911,0.263461996201199,0.0402930140912546,0,0.914,0,16.6096404744368,NA,0.2,0.0456924443126343,0.359798659360533
"23",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"unif","lognormal",30,0.458322,0.630122,-0.1718,-0.144370631904264,1.30464934509935,0.148664847143091,0.836507712860621,0.155618946210232,0,0.958,0,15.168997776141,NA,0.542883523318981,0.151174095036849,0.929239606433473
"24",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"unif","lognormal",30,0.459436,0.630822,-0.171386,-0.166159665587005,0.981844779397405,0.0370119521421511,0.197193460615514,0.036510880811452,0,0.954,0,16.6096404744368,NA,0.2,0.0373791275014457,0.213503697448386
"25",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"null","t",100,0.947512,0.947532,-2.000000000002e-05,-0.0140855353977632,3.91622380952381,0.188081249029608,2.93472993840856,0.182167192520567,0,0.938,0,15.168997776141,NA,0.542883523318981,0.188606456736145,4.20835429598433
"26",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"null","t",100,0.946982,0.94732,-0.00033800000000006,0.000789258973792061,1.37438536153916,0.0424160417712455,0.423975781483558,0.0425511322306489,0,0.946,0,16.6096404744368,NA,0.2,0.0424310182806639,0.636236539761147
"27",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"cauchy","t",100,0.548246,0.633306,-0.08506,-0.0647905823242874,1.77759776334776,0.139966271294803,1.65655734506511,0.148916755133142,0,0.97,0,15.168997776141,NA,0.542883523318981,0.141426328500329,1.87466265544555
"28",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"cauchy","t",100,0.550424,0.633906,-0.0834819999999999,-0.0793137292757074,1.06645916526567,0.0350437212946896,0.253850046388702,0.0348655808935421,0,0.948,0,16.6096404744368,NA,0.2,0.0352907478386457,0.30355971365201
"29",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"realistic","t",100,0.432368,0.553498,-0.12113,-0.0992479363713168,1.2694064990565,0.149042357783807,0.971955483897512,0.151649326526166,0,0.958,0,15.168997776141,NA,0.542883523318981,0.150640131181588,1.03978777845464
"30",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"realistic","t",100,0.433518,0.554832,-0.121314,-0.115538811521275,0.947401771713742,0.0364233147914391,0.199998617028289,0.0347659658826301,0,0.942,0,16.6096404744368,NA,0.2,0.0368783223908175,0.205539229284412
"31",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"large","t",100,0.218078,0.49923,-0.281152,-0.271226480614055,1.02671395816945,0.143920154836918,0.575240232743055,0.143136828523209,0,0.948,0,15.168997776141,NA,0.542883523318981,0.144262007830763,0.589031198291953
"32",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"large","t",100,0.218966,0.500206,-0.28124,-0.277169493829016,0.929419873183779,0.0361634953771273,0.1519371128473,0.0361257277872708,0,0.938,0,16.6096404744368,NA,0.2,0.0363918592322449,0.154759216845146
"33",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"worst","t",100,0.718028,0.832808,-0.11478,-0.0992256396455849,2.06939033189033,0.166490424542662,1.71070407857436,0.170754450649279,0,0.964,0,15.168997776141,NA,0.542883523318981,0.167215428685367,2.0721926051334
"34",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"worst","t",100,0.717184,0.833878,-0.116694,-0.124494501186476,1.10916680100399,0.0391347613222389,0.2160842504666,0.0405180042549238,0,0.942,0,16.6096404744368,NA,0.2,0.0399046032746702,0.300737682943049
